text,label
I enjoy constitution,law
I enjoy working with design,design
I am passionate about AI,tech
I enjoy working with constitution,law
I want to learn football,sports
I enjoy working with gym,sports
I am interested in cricket,sports
I am passionate about anatomy,medical
I enjoy football,sports
I enjoy fitness,sports
I want a career in medicine,medical
I love training,sports
I am interested in training,sports
I want a career in finance,commerce
I am passionate about justice,law
I am interested in marketing,commerce
I am interested in machine learning,tech
I love graphic design,design
I am passionate about finance,commerce
I love design,design
I love legal,law
I am passionate about medicine,medical
I am passionate about design,design
I enjoy working with fitness,sports
I want a career in startup,commerce
I like graphic design,design
I enjoy working with law,law
I want a career in doctor,medical
I want to learn finance,commerce
I enjoy working with drawing,design
I want a career in programming,tech
I love painting,design
I love Python,tech
I want a career in machine learning,tech
I am interested in Python,tech
I enjoy gym,sports
I love football,sports
I want to learn AI,tech
I enjoy data science,tech
I like marketing,commerce
I like football,sports
I enjoy UI UX,design
I am passionate about business,commerce
I want to learn legal,law
I want a career in sports,sports
I love gym,sports
I like legal,law
I like cricket,sports
I love accounting,commerce
I am passionate about drawing,design
I am interested in doctor,medical
I love business,commerce
I like programming,tech
I love court,law
I love sports,sports
I am passionate about graphic design,design
I want to learn cricket,sports
I am passionate about legal,law
I am passionate about accounting,commerce
I want to learn painting,design
I am interested in biology,medical
I want a career in anatomy,medical
I want to learn lawyer,law
I love anatomy,medical
I want a career in justice,law
I want a career in painting,design
I want to learn marketing,commerce
I like Python,tech
I am interested in gym,sports
I enjoy working with coding,tech
I want a career in software,tech
I like court,law
I am interested in law,law
I am passionate about software,tech
I want a career in accounting,commerce
I want to learn business,commerce
I want to learn coding,tech
I am interested in painting,design
I like economics,commerce
I enjoy working with training,sports
I want to learn biology,medical
I enjoy painting,design
I am passionate about creativity,design
I want a career in drawing,design
I am passionate about data science,tech
I like sports,sports
I enjoy drawing,design
I enjoy art,design
I enjoy anatomy,medical
I want to learn medicine,medical
I enjoy working with data science,tech
I want to learn Python,tech
I love fitness,sports
I enjoy lawyer,law
I want a career in creativity,design
I want a career in cricket,sports
I am interested in data science,tech
I like gym,sports
I love cricket,sports
I love economics,commerce
I want a career in AI,tech
I like constitution,law
I love programming,tech
I want to learn software,tech
I am passionate about lawyer,law
I enjoy working with finance,commerce
I like painting,design
I love UI UX,design
I want to learn accounting,commerce
I like AI,tech
I want to learn constitution,law
I like hospital,medical
I want a career in data science,tech
I am interested in AI,tech
I want to learn law,law
I enjoy accounting,commerce
I am passionate about Python,tech
I am interested in creativity,design
I am interested in accounting,commerce
I enjoy working with AI,tech
I love creativity,design
I want a career in marketing,commerce
I want a career in design,design
I enjoy training,sports
I want to learn court,law
I am interested in software,tech
I am interested in lawyer,law
I want a career in graphic design,design
I love AI,tech
I enjoy working with startup,commerce
